rule_id,image_filename,case_id,baseline_matches,baseline_false_negatives,baseline_false_positives,post_matches,post_false_negatives,post_false_positives,delta_matches,delta_false_negatives,delta_false_positives,removed_labels
hybrid,80.jpg,80,1,0,0,1,0,0,0,0,0,
hybrid,81.jpg,81,1,0,0,1,0,0,0,0,0,
hybrid,82.jpg,82,2,0,0,2,0,0,0,0,0,
hybrid,83.jpg,83,1,0,0,1,0,0,0,0,0,
hybrid,84.jpg,84,8,5,0,8,5,0,0,0,0,
hybrid,85.jpg,85,2,0,0,2,0,0,0,0,0,
hybrid,86.jpg,86,1,0,1,1,0,1,0,0,0,
hybrid,87.jpg,87,2,0,0,2,0,0,0,0,0,
hybrid,88.jpg,88,1,0,1,1,0,0,0,0,-1,target_1
hybrid,89.jpg,89,1,0,0,1,0,0,0,0,0,
hybrid,90.png,90,1,0,0,1,0,0,0,0,0,
hybrid,91.jpg,91,3,0,0,3,0,0,0,0,0,
hybrid,92.jpg,92,1,0,1,1,0,1,0,0,0,
hybrid,93.jpg,93,3,0,0,3,0,0,0,0,0,
hybrid,94.jpg,94,1,0,0,1,0,0,0,0,0,
hybrid,95.jpg,95,1,1,0,1,1,0,0,0,0,
hybrid,96.jpg,96,2,0,0,2,0,0,0,0,0,
hybrid,97.jpg,97,1,0,1,1,0,1,0,0,0,
hybrid,98.jpg,98,1,0,0,1,0,0,0,0,0,
hybrid,99.jpg,99,2,0,0,2,0,0,0,0,0,
hybrid,100.jpg,100,1,2,1,1,2,0,0,0,-1,target_2
hybrid,102.jpg,102,0,1,0,0,1,0,0,0,0,
hybrid,103.jpg,103,1,0,1,1,0,1,0,0,0,
hybrid,104.jpg,104,1,0,0,1,0,0,0,0,0,
hybrid,105.jpg,105,1,0,2,1,0,2,0,0,0,
hybrid,106.jpg,106,1,0,0,1,0,0,0,0,0,
hybrid,107.jpg,107,1,0,0,1,0,0,0,0,0,
hybrid,108.jpg,108,1,1,0,1,1,0,0,0,0,
hybrid,109.jpg,109,1,0,0,1,0,0,0,0,0,
hybrid,110.jpg,110,3,4,1,3,4,1,0,0,0,
hybrid,125.jpg,125,1,0,0,1,0,0,0,0,0,
hybrid,141.jpg,141,2,1,0,2,1,0,0,0,0,
hybrid,142.jpg,142,1,0,0,1,0,0,0,0,0,
hybrid,143.jpg,143,1,0,0,1,0,0,0,0,0,
hybrid,144.jpg,144,3,0,0,3,0,0,0,0,0,
hybrid,145.jpg,145,1,0,0,1,0,0,0,0,0,
hybrid,146.jpg,146,1,1,0,1,1,0,0,0,0,
hybrid,147.jpg,147,1,2,0,1,2,0,0,0,0,
hybrid,148.jpg,148,1,0,0,1,0,0,0,0,0,
hybrid,149.jpg,149,1,0,0,1,0,0,0,0,0,
hybrid,150.jpg,150,1,0,0,1,0,0,0,0,0,
hybrid,151.jpg,151,1,0,0,1,0,0,0,0,0,
hybrid,152.jpg,152,3,0,0,3,0,0,0,0,0,
hybrid,153.jpg,153,1,0,0,1,0,0,0,0,0,
hybrid,154.jpg,154,1,1,0,1,1,0,0,0,0,
hybrid,155.jpg,155,2,0,1,2,0,0,0,0,-1,target_1
hybrid,156.jpg,156,2,0,0,2,0,0,0,0,0,
hybrid,157.jpg,157,1,0,0,1,0,0,0,0,0,
hybrid,158.jpg,158,1,0,0,1,0,0,0,0,0,
hybrid,159.jpg,159,2,0,0,2,0,0,0,0,0,
hybrid,160.jpg,160,2,3,0,2,3,0,0,0,0,
hybrid,161.jpg,161,0,1,0,0,1,0,0,0,0,
hybrid,162.jpg,162,1,0,0,1,0,0,0,0,0,
hybrid,163.jpg,163,1,0,0,1,0,0,0,0,0,
hybrid,164.jpg,164,1,1,0,1,1,0,0,0,0,
hybrid,165.jpg,165,1,0,0,1,0,0,0,0,0,
hybrid,166.jpg,166,1,0,0,1,0,0,0,0,0,
hybrid,167.jpg,167,1,0,0,1,0,0,0,0,0,
hybrid,168.jpg,168,1,0,0,1,0,0,0,0,0,
hybrid,169.jpg,169,1,1,0,1,1,0,0,0,0,
hybrid,170.jpg,170,1,0,0,1,0,0,0,0,0,
hybrid,172.jpg,172,3,0,0,3,0,0,0,0,0,
hybrid,187.jpg,187,2,0,0,2,0,0,0,0,0,
